date,region,name,tie_percentage,total_matches_played,win_percentage,latitude,longitude,final_won,goals_scored,number_of_world_cups
1930-01-01,,Uruguay,0.00,4,1.00000,-32.9480,-56.249,1,15,14
1930-01-01,,Argentina,0.00,5,0.80000,-33.1660,-64.310,0,18,18
1930-01-01,,Chile,0.00,3,0.66667,-23.1760,-69.201,0,5,9
1930-01-01,,United States,0.00,3,0.66667,40.0792,-98.816,0,7,11
1930-01-01,,Yugoslavia,0.00,3,0.66667,44.0210,20.699,0,7,8
1930-01-01,,Brazil,0.00,2,0.50000,-11.6940,-48.978,0,5,22
1930-01-01,,Paraguay,0.00,2,0.50000,-23.2660,-58.409,0,1,8
1930-01-01,,Romania,0.00,2,0.50000,45.9330,25.119,0,3,7
1930-01-01,,France,0.00,3,0.33333,46.6560,2.543,0,4,16
1930-01-01,,Belgium,0.00,2,0.00000,50.6745,4.459,0,0,14
1930-01-01,,Bolivia,0.00,2,0.00000,-16.7100,-65.183,0,0,3
1930-01-01,,Mexico,0.00,3,0.00000,22.9250,-101.680,0,4,17
1930-01-01,,Peru,0.00,2,0.00000,-12.6640,-72.980,0,1,5
1930-01-01,,Uruguay,0.000000,4,1.00000,-32.9480,-56.249,1,15,14
1930-01-01,,Uruguay,0.000000,4,1.00000,-32.9480,-56.249,1,15,14
1934-01-01,,Uruguay,0.000000,4,1.00000,-32.9480,-56.249,1,15,14
1934-01-01,,Italy,0.200000,5,0.80000,44.3713,11.108,1,12,18
1934-01-01,,Czechoslovakia,0.000000,4,0.75000,49.8480,15.281,0,9,8
1934-01-01,,Germany,0.000000,4,0.75000,51.3819,9.988,0,11,11
1934-01-01,,Argentina,0.000000,6,0.66667,-33.1660,-64.310,0,20,18
1934-01-01,,Chile,0.000000,3,0.66667,-23.1760,-69.201,0,5,9
1934-01-01,,Yugoslavia,0.000000,3,0.66667,44.0210,20.699,0,7,8
1934-01-01,,Austria,0.000000,4,0.50000,47.6500,14.705,0,7,7
1934-01-01,,Hungary,0.000000,2,0.50000,47.1740,19.618,0,5,9
1934-01-01,,Paraguay,0.000000,2,0.50000,-23.2660,-58.409,0,1,8
1934-01-01,,Sweden,0.000000,2,0.50000,66.2188,19.000,0,4,12
1934-01-01,,Switzerland,0.000000,2,0.50000,46.7794,8.033,0,5,12
1934-01-01,,United States,0.000000,4,0.50000,40.0792,-98.816,0,8,11
1934-01-01,,Brazil,0.000000,3,0.33333,-11.6940,-48.978,0,6,22
1934-01-01,,Romania,0.000000,3,0.33333,45.9330,25.119,0,4,7
1934-01-01,,Spain,0.333333,3,0.33333,40.6170,-3.388,0,4,16
1934-01-01,,France,0.000000,4,0.25000,46.6560,2.543,0,6,16
1934-01-01,,Belgium,0.000000,3,0.00000,50.6745,4.459,0,2,14
1934-01-01,,Bolivia,0.000000,2,0.00000,-16.7100,-65.183,0,0,3
1934-01-01,,Egypt,0.000000,1,0.00000,26.1600,28.742,0,2,3
1934-01-01,,Mexico,0.000000,3,0.00000,22.9250,-101.680,0,4,17
1934-01-01,,Netherlands,0.000000,1,0.00000,52.1704,5.010,0,2,11
1934-01-01,,Peru,0.000000,2,0.00000,-12.6640,-72.980,0,1,5
1938-01-01,,Uruguay,0.000000,4,1.00000,-32.9480,-56.249,1,15,14
1938-01-01,,Italy,0.111111,9,0.88889,44.3713,11.108,2,23,18
1938-01-01,,Argentina,0.000000,6,0.66667,-33.1660,-64.310,0,20,18
1938-01-01,,Chile,0.000000,3,0.66667,-23.1760,-69.201,0,5,9
1938-01-01,,Hungary,0.000000,6,0.66667,47.1740,19.618,0,20,9
1938-01-01,,Yugoslavia,0.000000,3,0.66667,44.0210,20.699,0,7,8
1938-01-01,,Czechoslovakia,0.142857,7,0.57143,49.8480,15.281,0,14,8
1938-01-01,,Austria,0.000000,4,0.50000,47.6500,14.705,0,7,7
1938-01-01,,Brazil,0.125000,8,0.50000,-11.6940,-48.978,0,20,22
1938-01-01,,Germany,0.166667,6,0.50000,51.3819,9.988,0,14,11
1938-01-01,,Paraguay,0.000000,2,0.50000,-23.2660,-58.409,0,1,8
1938-01-01,,United States,0.000000,4,0.50000,40.0792,-98.816,0,8,11
1938-01-01,,Sweden,0.000000,5,0.40000,66.2188,19.000,0,15,12
1938-01-01,,Switzerland,0.200000,5,0.40000,46.7794,8.033,0,10,12
1938-01-01,,Cuba,0.333333,3,0.33333,20.5710,-76.456,0,5,1
1938-01-01,,France,0.000000,6,0.33333,46.6560,2.543,0,10,16
1938-01-01,,Spain,0.333333,3,0.33333,40.6170,-3.388,0,4,16
1938-01-01,,Romania,0.200000,5,0.20000,45.9330,25.119,0,8,7
1938-01-01,,Belgium,0.000000,4,0.00000,50.6745,4.459,0,3,14
1938-01-01,,Bolivia,0.000000,2,0.00000,-16.7100,-65.183,0,0,3
1938-01-01,,Dutch East Indies,0.000000,1,0.00000,-0.7390,114.045,0,0,1
1938-01-01,,Egypt,0.000000,1,0.00000,26.1600,28.742,0,2,3
1938-01-01,,Mexico,0.000000,3,0.00000,22.9250,-101.680,0,4,17
1938-01-01,,Netherlands,0.000000,2,0.00000,52.1704,5.010,0,2,11
1938-01-01,,Norway,0.000000,1,0.00000,61.3701,9.303,0,1,3
1938-01-01,,Peru,0.000000,2,0.00000,-12.6640,-72.980,0,1,5
1938-01-01,,Poland,0.000000,1,0.00000,52.4420,19.720,0,5,9
1950-01-01,,Uruguay,0.125000,8,0.875000,-32.9480,-56.249,2,30,14
1950-01-01,,Italy,0.090909,11,0.818182,44.3713,11.108,2,27,18
1950-01-01,,Argentina,0.000000,6,0.666667,-33.1660,-64.310,0,20,18
1950-01-01,,Hungary,0.000000,6,0.666667,47.1740,19.618,0,20,9
